id,name,box_art_url,igdb_id
159898062,EMPULSE,https://static-cdn.jtvnw.net/ttv-boxart/159898062_IGDB-{width}x{height}.jpg,402471
1294658629,R.E.P.O.,https://static-cdn.jtvnw.net/ttv-boxart/1294658629_IGDB-{width}x{height}.jpg,332780
505884,PUBG MOBILE,https://static-cdn.jtvnw.net/ttv-boxart/505884-{width}x{height}.jpg,95340
329951934,Pokémon Community Game,https://static-cdn.jtvnw.net/ttv-boxart/329951934_IGDB-{width}x{height}.jpg,182241
93798731,F1 25,https://static-cdn.jtvnw.net/ttv-boxart/93798731_IGDB-{width}x{height}.jpg,336964
369418,GeoGuessr,https://static-cdn.jtvnw.net/ttv-boxart/369418_IGDB-{width}x{height}.jpg,63350
1045514981,SUBSUMED,https://static-cdn.jtvnw.net/ttv-boxart/1045514981_IGDB-{width}x{height}.jpg,382496
375403621,Pokémon Trading Card Game Pocket,https://static-cdn.jtvnw.net/ttv-boxart/375403621_IGDB-{width}x{height}.jpg,288324
490422,StarCraft II,https://static-cdn.jtvnw.net/ttv-boxart/490422-{width}x{height}.jpg,
1028198402,Dead Space,https://static-cdn.jtvnw.net/ttv-boxart/1028198402_IGDB-{width}x{height}.jpg,159119
515474,NARAKA: BLADEPOINT,https://static-cdn.jtvnw.net/ttv-boxart/515474_IGDB-{width}x{height}.jpg,127352
11854,Crash Bandicoot: Warped,https://static-cdn.jtvnw.net/ttv-boxart/11854_IGDB-{width}x{height}.jpg,1187
29056,Knight Online,https://static-cdn.jtvnw.net/ttv-boxart/29056_IGDB-{width}x{height}.jpg,19795
1286077738,Monster Hunter Wilds,https://static-cdn.jtvnw.net/ttv-boxart/1286077738_IGDB-{width}x{height}.jpg,279661
8489,Chrono Trigger,https://static-cdn.jtvnw.net/ttv-boxart/8489_IGDB-{width}x{height}.jpg,1802
735904419,ARK: Survival Ascended,https://static-cdn.jtvnw.net/ttv-boxart/735904419_IGDB-{width}x{height}.jpg,250509
1189321824,Powerful Pro Yakyuu 2026-2027,https://static-cdn.jtvnw.net/ttv-boxart/1189321824_IGDB-{width}x{height}.jpg,388457
271304,7 Days to Die,https://static-cdn.jtvnw.net/ttv-boxart/271304_IGDB-{width}x{height}.jpg,5574
538054672,TEKKEN 8,https://static-cdn.jtvnw.net/ttv-boxart/538054672_IGDB-{width}x{height}.jpg,217590
490292,DARK SOULS III,https://static-cdn.jtvnw.net/ttv-boxart/490292_IGDB-{width}x{height}.jpg,11133
461221,MARVEL Contest of Champions,https://static-cdn.jtvnw.net/ttv-boxart/461221_IGDB-{width}x{height}.jpg,28107
456845141,Zenless Zone Zero,https://static-cdn.jtvnw.net/ttv-boxart/456845141_IGDB-{width}x{height}.jpg,200551
1393304883,Mir Tankov,https://static-cdn.jtvnw.net/ttv-boxart/1393304883_IGDB-{width}x{height}.jpg,252168
518018,PRAGMATA,https://static-cdn.jtvnw.net/ttv-boxart/518018_IGDB-{width}x{height}.jpg,134612
512034,Stellar Blade,https://static-cdn.jtvnw.net/ttv-boxart/512034_IGDB-{width}x{height}.jpg,117170
9618,Pokémon Trading Card Game,https://static-cdn.jtvnw.net/ttv-boxart/9618_IGDB-{width}x{height}.jpg,4567
29307,Path of Exile,https://static-cdn.jtvnw.net/ttv-boxart/29307_IGDB-{width}x{height}.jpg,1911
116747788,"Pools, Hot Tubs, and Beaches",https://static-cdn.jtvnw.net/ttv-boxart/116747788-{width}x{height}.jpg,
1142325589,Goblin Company,https://static-cdn.jtvnw.net/ttv-boxart/1142325589_IGDB-{width}x{height}.jpg,386855
666563290,Revenge Of The Colon,https://static-cdn.jtvnw.net/ttv-boxart/666563290_IGDB-{width}x{height}.jpg,279005
65876,Cyberpunk 2077,https://static-cdn.jtvnw.net/ttv-boxart/65876-{width}x{height}.jpg,1877
509673,Makers & Crafting,https://static-cdn.jtvnw.net/ttv-boxart/509673-{width}x{height}.jpg,
1910103699,THE FINALS,https://static-cdn.jtvnw.net/ttv-boxart/1910103699-{width}x{height}.jpg,214417
1515862749,Disney Dreamlight Valley,https://static-cdn.jtvnw.net/ttv-boxart/1515862749_IGDB-{width}x{height}.jpg,198506
509147,Super Bunny Man,https://static-cdn.jtvnw.net/ttv-boxart/509147_IGDB-{width}x{height}.jpg,55472
767052518,TBH: Task Bar Hero,https://static-cdn.jtvnw.net/ttv-boxart/767052518_IGDB-{width}x{height}.jpg,372510
19801,Throne and Liberty,https://static-cdn.jtvnw.net/ttv-boxart/19801_IGDB-{width}x{height}.jpg,117294
1050003477,The Elder Scrolls V: Skyrim - Special Edition,https://static-cdn.jtvnw.net/ttv-boxart/1050003477_IGDB-{width}x{height}.jpg,19457
506456,Satisfactory,https://static-cdn.jtvnw.net/ttv-boxart/506456_IGDB-{width}x{height}.jpg,90558
407314011,Marathon,https://static-cdn.jtvnw.net/ttv-boxart/407314011_IGDB-{width}x{height}.jpg,250630
30028,The Elder Scrolls V: Skyrim,https://static-cdn.jtvnw.net/ttv-boxart/30028_IGDB-{width}x{height}.jpg,472
418016,The Long Dark,https://static-cdn.jtvnw.net/ttv-boxart/418016_IGDB-{width}x{height}.jpg,8347
344035090,Kingdom Come: Deliverance II,https://static-cdn.jtvnw.net/ttv-boxart/344035090_IGDB-{width}x{height}.jpg,298526
431065997,FINAL FANTASY VII REMAKE,https://static-cdn.jtvnw.net/ttv-boxart/431065997_IGDB-{width}x{height}.jpg,11169
512923,Baldur's Gate 3,https://static-cdn.jtvnw.net/ttv-boxart/512923_IGDB-{width}x{height}.jpg,119171
497388,A Way Out,https://static-cdn.jtvnw.net/ttv-boxart/497388_IGDB-{width}x{height}.jpg,36897
951160620,GOALS,https://static-cdn.jtvnw.net/ttv-boxart/951160620_IGDB-{width}x{height}.jpg,289602
669337588,Microsoft Flight Simulator 2024,https://static-cdn.jtvnw.net/ttv-boxart/669337588_IGDB-{width}x{height}.jpg,252830
1832641890,MLB The Show 26,https://static-cdn.jtvnw.net/ttv-boxart/1832641890_IGDB-{width}x{height}.jpg,387374
771448419,Aion 2,https://static-cdn.jtvnw.net/ttv-boxart/771448419_IGDB-{width}x{height}.jpg,117297
272952894,Madden NFL 26,https://static-cdn.jtvnw.net/ttv-boxart/272952894_IGDB-{width}x{height}.jpg,342382
498482,Age of Empires IV,https://static-cdn.jtvnw.net/ttv-boxart/498482_IGDB-{width}x{height}.jpg,55029
1317752045,Almost Out,https://static-cdn.jtvnw.net/ttv-boxart/1317752045_IGDB-{width}x{height}.jpg,407668
1317687223,FIFA Heroes,https://static-cdn.jtvnw.net/ttv-boxart/1317687223-{width}x{height}.jpg,371210
490377,Sea of Thieves,https://static-cdn.jtvnw.net/ttv-boxart/490377-{width}x{height}.jpg,11137
36799602,Clair Obscur: Expedition 33,https://static-cdn.jtvnw.net/ttv-boxart/36799602_IGDB-{width}x{height}.jpg,305152
1099705332,Tomodachi Life: Living the Dream,https://static-cdn.jtvnw.net/ttv-boxart/1099705332_IGDB-{width}x{height}.jpg,337036
1657993903,Mina the Hollower,https://static-cdn.jtvnw.net/ttv-boxart/1657993903_IGDB-{width}x{height}.jpg,189781
490744,Stardew Valley,https://static-cdn.jtvnw.net/ttv-boxart/490744_IGDB-{width}x{height}.jpg,17000
982348888,ELDEN RING NIGHTREIGN,https://static-cdn.jtvnw.net/ttv-boxart/982348888_IGDB-{width}x{height}.jpg,325591
13263,EVE Online,https://static-cdn.jtvnw.net/ttv-boxart/13263-{width}x{height}.jpg,2584
130942,Factorio,https://static-cdn.jtvnw.net/ttv-boxart/130942_IGDB-{width}x{height}.jpg,7046
508455,Valheim,https://static-cdn.jtvnw.net/ttv-boxart/508455_IGDB-{width}x{height}.jpg,104967
1475553728,The Adventures of Elliot: The Millennium Tales,https://static-cdn.jtvnw.net/ttv-boxart/1475553728_IGDB-{width}x{height}.jpg,358534
6521,Grand Theft Auto: San Andreas,https://static-cdn.jtvnw.net/ttv-boxart/6521_IGDB-{width}x{height}.jpg,732
